Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
safety-flooring-plus-slate-grey-2006,Safety Flooring Plus Slate Grey 2006,"<h2>Safety Flooring Plus Slate Grey 2006</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31389,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety-flooring-plus-slate-grey-2006-room-shot-1.jpg?v=1779041798,1,Safety Flooring Plus Slate Grey 2006,false,Safety Flooring Plus Slate Grey 2006,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
safety-flooring-plus-slate-grey-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety_flooring_plus_slate_grey_cx2006_1.jpg?v=1779041798,2,Safety Flooring Plus Slate Grey 2006,,,,,,,,
safety-flooring-plus-nearly-black-2009,Safety Flooring Plus Nearly Black 2009,"<h2>Safety Flooring Plus Nearly Black 2009</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31394,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety-flooring-plus-nearly-black-2009-room-shot-1.jpg?v=1779041797,1,Safety Flooring Plus Nearly Black 2009,false,Safety Flooring Plus Nearly Black 2009,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
safety-flooring-plus-nearly-black-2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/safety_flooring_plus_nearly_black_cx2009_1.jpg?v=1779041797,2,Safety Flooring Plus Nearly Black 2009,,,,,,,,
polysafe-standard-taupe-heavy-duty-safety-flooring,Polysafe Standard Taupe Heavy Duty Safety Flooring,"<h2>Polysafe Standard Taupe Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,73632,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe-standard-taupe-heavy-duty-safety-flooring-lifestyle-1.jpg?v=1779041796,1,Polysafe Standard Taupe Heavy Duty Safety Flooring,false,Polysafe Standard Taupe Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-taupe-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe-standard-taupe-heavy-duty-safety-flooring-lifestyle-2.jpg?v=1779041796,2,Polysafe Standard Taupe Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-wild-mushroom-heavy-duty-safety-flooring,Polysafe Standard Wild Mushroom Heavy Duty Safety Flooring,"<h2>Polysafe Standard Wild Mushroom Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,73631,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe-standard-wild-mushroom-heavy-duty-safety-flooring-lifestyle-1.jpg?v=1779041795,1,Polysafe Standard Wild Mushroom Heavy Duty Safety Flooring,false,Polysafe Standard Wild Mushroom Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-wild-mushroom-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe-standard-wild-mushroom-heavy-duty-safety-flooring-lifestyle-2.jpg?v=1779041795,2,Polysafe Standard Wild Mushroom Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-elmwood-heavy-duty-safety-flooring,Polysafe Standard Elmwood Heavy Duty Safety Flooring,"<h2>Polysafe Standard Elmwood Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31363,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_elmwood_heavy_duty_safety_flooring.jpg?v=1779041794,1,Polysafe Standard Elmwood Heavy Duty Safety Flooring,false,Polysafe Standard Elmwood Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-elmwood-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_elmwood_4520.jpg?v=1779041794,2,Polysafe Standard Elmwood Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-ash-grey-heavy-duty-safety-flooring,Polysafe Standard Ash Grey Heavy Duty Safety Flooring,"<h2>Polysafe Standard Ash Grey Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31369,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_ash_grey_heavy_duty_safety_flooring.jpg?v=1779041792,1,Polysafe Standard Ash Grey Heavy Duty Safety Flooring,false,Polysafe Standard Ash Grey Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-ash-grey-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_ash_grey_4540.jpg?v=1779041792,2,Polysafe Standard Ash Grey Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-storm-blue-heavy-duty-safety-flooring,Polysafe Standard Storm Blue Heavy Duty Safety Flooring,"<h2>Polysafe Standard Storm Blue Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31371,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_storm_blue_heavy_duty_safety_flooring.jpg?v=1779041791,1,Polysafe Standard Storm Blue Heavy Duty Safety Flooring,false,Polysafe Standard Storm Blue Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-storm-blue-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_storm_blue_4560.jpg?v=1779041791,2,Polysafe Standard Storm Blue Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-autumn-beige-heavy-duty-safety-flooring,Polysafe Standard Autumn Beige Heavy Duty Safety Flooring,"<h2>Polysafe Standard Autumn Beige Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31372,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_autumn_beige_heavy_duty_safety_flooring.jpg?v=1779041790,1,Polysafe Standard Autumn Beige Heavy Duty Safety Flooring,false,Polysafe Standard Autumn Beige Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-autumn-beige-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_autumn_beige_4140.jpg?v=1779041790,2,Polysafe Standard Autumn Beige Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-silver-birch-heavy-duty-safety-flooring,Polysafe Standard Silver Birch Heavy Duty Safety Flooring,"<h2>Polysafe Standard Silver Birch Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31373,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_silver_birch_heavy_duty_safety_flooring.jpg?v=1779041789,1,Polysafe Standard Silver Birch Heavy Duty Safety Flooring,false,Polysafe Standard Silver Birch Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-silver-birch-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_silver_birch_4020.jpg?v=1779041788,2,Polysafe Standard Silver Birch Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-cedar-blue-heavy-duty-safety-flooring,Polysafe Standard Cedar Blue Heavy Duty Safety Flooring,"<h2>Polysafe Standard Cedar Blue Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31374,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_cedar_blue_heavy_duty_safety_flooring.jpg?v=1779041787,1,Polysafe Standard Cedar Blue Heavy Duty Safety Flooring,false,Polysafe Standard Cedar Blue Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-cedar-blue-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_cedar_blue_4060.jpg?v=1779041787,2,Polysafe Standard Cedar Blue Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-alpine-green-heavy-duty-safety-flooring,Polysafe Standard Alpine Green Heavy Duty Safety Flooring,"<h2>Polysafe Standard Alpine Green Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31377,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_alpine_green_heavy_duty_safety_flooring.jpg?v=1779041786,1,Polysafe Standard Alpine Green Heavy Duty Safety Flooring,false,Polysafe Standard Alpine Green Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-alpine-green-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_alpine_green_4110.jpg?v=1779041786,2,Polysafe Standard Alpine Green Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-arctic-blue-heavy-duty-safety-flooring,Polysafe Standard Arctic Blue Heavy Duty Safety Flooring,"<h2>Polysafe Standard Arctic Blue Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31378,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_arctic_blue_heavy_duty_safety_flooring.jpg?v=1779041785,1,Polysafe Standard Arctic Blue Heavy Duty Safety Flooring,false,Polysafe Standard Arctic Blue Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-arctic-blue-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_arctic_blue_4130.jpg?v=1779041785,2,Polysafe Standard Arctic Blue Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-redwood-heavy-duty-safety-flooring,Polysafe Standard Redwood Heavy Duty Safety Flooring,"<h2>Polysafe Standard Redwood Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31381,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_redwood_heavy_duty_safety_flooring.jpg?v=1779041784,1,Polysafe Standard Redwood Heavy Duty Safety Flooring,false,Polysafe Standard Redwood Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-redwood-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_redwood_4040.jpg?v=1779041784,2,Polysafe Standard Redwood Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-twilight-heavy-duty-safety-flooring,Polysafe Standard Twilight Heavy Duty Safety Flooring,"<h2>Polysafe Standard Twilight Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31382,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_twilight_heavy_duty_safety_flooring.jpg?v=1779041783,1,Polysafe Standard Twilight Heavy Duty Safety Flooring,false,Polysafe Standard Twilight Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-twilight-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_twilight_4490.jpg?v=1779041783,2,Polysafe Standard Twilight Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-black-walnut-heavy-duty-safety-flooring,Polysafe Standard Black Walnut Heavy Duty Safety Flooring,"<h2>Polysafe Standard Black Walnut Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31383,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_black_walnut_heavy_duty_safety_flooring.jpg?v=1779041782,1,Polysafe Standard Black Walnut Heavy Duty Safety Flooring,false,Polysafe Standard Black Walnut Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
polysafe-standard-black-walnut-heavy-duty-safety-flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_heavy_duty_safety_floor_black_walnut_4150.jpg?v=1779041781,2,Polysafe Standard Black Walnut Heavy Duty Safety Flooring,,,,,,,,
polysafe-standard-nordic-grey-heavy-duty-safety-flooring,Polysafe Standard Nordic Grey Heavy Duty Safety Flooring,"<h2>Polysafe Standard Nordic Grey Heavy Duty Safety Flooring</h2><p>Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.</p>",Factory Direct Flooring,,Vinyl Flooring,vinyl-flooring,true,Title,Default Title,,,,,,,,31379,0.0,shopify,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0998/3049/7592/files/polysafe_standard_nordic_grey_heavy_duty_safety_flooring.jpg?v=1779041780,1,Polysafe Standard Nordic Grey Heavy Duty Safety Flooring,false,Polysafe Standard Nordic Grey Heavy Duty Safety Flooring,"Quality vinyl flooring from Factory Direct Flooring. Fully waterproof and extremely easy to clean. Ideal for kitchens, bathrooms and utility rooms. Available in a wide range of colours and styles.",,kg,,,active
